Model,Sampling,Test_Accuracy,Precision,Recall,F1_Score,ROC_AUC,Feature_Selection
Decision Tree,RandomUnderSampler (Fold 5),0.654,0.185345,0.215,0.199074,0.492578,FS_RF
Decision Tree,Baseline (Fold 5),0.786,0.111111,0.01,0.018349,0.504231,FS_RF
Random Forest,None (Baseline),0.8,0.0,0.0,0.0,0.522475,FS_RF
Random Forest,SMOTE (Fold 2),0.712,0.194444,0.14,0.162791,0.477016,FS_RF
Random Forest,ADASYN (Fold 5),0.688,0.195652,0.18,0.1875,0.482931,FS_RF
Random Forest,RandomUnderSampler (Fold 5),0.499,0.199601,0.5,0.285307,0.4836,FS_RF
Random Forest,SMOTETomek,0.705,0.172414,0.125,0.144928,0.466416,FS_RF
Random Forest,SMOTEENN,0.456,0.19395,0.545,0.286089,0.470381,FS_RF
Random Forest,NearMiss (Fold 1),0.371,0.207367,0.76,0.325831,0.527559,FS_RF
Random Forest,ClusterCentroids,0.413,0.193344,0.61,0.293622,0.510356,FS_RF
Random Forest,ADASYN+Tomek,0.694,0.176829,0.145,0.159341,0.482366,FS_RF
Random Forest,BorderlineSMOTE+Tomek,0.766,0.173077,0.045,0.071429,0.485728,FS_RF
XGBoost,None (Baseline),0.795,0.0,0.0,0.0,0.476937,FS_RF
XGBoost,SMOTE,0.619,0.195286,0.29,0.2334,0.495937,FS_RF
XGBoost,ADASYN,0.58,0.174556,0.295,0.219331,0.479838,FS_RF
XGBoost,RandomUnderSampler,0.5,0.2,0.5,0.285714,0.513188,FS_RF
XGBoost,ClusterCentroids,0.42,0.18543,0.56,0.278607,0.49005,FS_RF
XGBoost,SMOTETomek,0.58,0.164634,0.27,0.204545,0.486619,FS_RF
XGBoost,SMOTEENN,0.401,0.198185,0.655,0.304297,0.479787,FS_RF
XGBoost,NearMiss,0.382,0.208101,0.745,0.325328,0.524913,FS_RF
XGBoost,ADASYN+Tomek,0.603,0.187302,0.295,0.229126,0.476875,FS_RF
XGBoost,Borderline+Tomek,0.627,0.202749,0.295,0.240326,0.494053,FS_RF
MLP,None (Baseline),0.8,0.0,0.0,0.0,0.510406,FS_RF
MLP,SMOTE,0.524,0.2,0.46,0.278788,0.48965,FS_RF
MLP,ADASYN,0.572,0.227273,0.475,0.307443,0.534463,FS_RF
MLP,RandomUnderSampler,0.53,0.191781,0.42,0.263323,0.501212,FS_RF
MLP,SMOTETomek,0.561,0.181333,0.34,0.236522,0.475112,FS_RF
MLP,SMOTEENN,0.223,0.199166,0.955,0.329594,0.444306,FS_RF
MLP,NearMiss,0.465,0.212693,0.62,0.316731,0.532875,FS_RF
MLP,ClusterCentroids,0.8,0.0,0.0,0.0,0.456072,FS_RF
MLP,ADASYN+Tomek,0.789,0.076923,0.005,0.00939,0.471113,FS_RF
MLP,Borderline+Tomek,0.798,0.416667,0.025,0.04717,0.487256,FS_RF
DNN,SMOTEENN (Fold 3),0.221,0.198123,0.95,0.327869,0.481931,FS_RF
DNN,ADASYN (Fold 4),0.515,0.193548,0.45,0.270677,0.48,FS_RF
DNN,SMOTETomek (Fold 5),0.512,0.188312,0.435,0.26284,0.479494,FS_RF
DNN,ADASYN + Tomek (Fold 5),0.498,0.17735,0.415,0.248503,0.486356,FS_RF
DNN,SMOTE (Fold 2),0.515,0.181208,0.405,0.250386,0.477469,FS_RF
DNN,RandomUnderSampler (Fold 5),0.635,0.2,0.275,0.231579,0.484194,FS_RF
DNN,Borderline-2 + Tomek (Fold 5),0.658,0.196581,0.23,0.211982,0.540144,FS_RF
DNN,ClusterCentroids (Fold 5),0.7,0.225275,0.205,0.21466,0.467816,FS_RF
