Model,Split,Technique,Cross-Validation Accuracies +- std,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Test ROC-AUC,TP,TN,FP,FN
MLP,90:10,ClusterCentroids,0.6710 ± 0.1011,0.732,0.2581,0.24,0.2487,0.4728,48,684,116,152
MLP,90:10,ADASYN+Tomek,0.5630 ± 0.0963,0.509,0.1996,0.485,0.2828,0.5181,97,412,388,103
MLP,90:10,Borderline+Tomek,0.6698 ± 0.0863,0.635,0.2415,0.335,0.2806,0.5312,67,568,232,133
Random Forest,80:20,Baseline,0.8000 ± 0.0000,0.8,0.0,0.0,0.0,0.5042,0,1600,0,400
Random Forest,80:20,SMOTE,0.7938 ± 0.007,0.7915,0.3077,0.04,0.0708,0.501,16,1567,33,384
Random Forest,80:20,ADASYN,0.7892 ± 0.0075,0.785,0.2838,0.0525,0.0886,0.4955,21,1549,51,379
Random Forest,80:20,RandomUnderSampler,0.6274 ± 0.0093,0.6305,0.2521,0.4575,0.325,0.5694,183,1078,522,217
Random Forest,80:20,SMOTETomek,0.7925 ± 0.0084,0.787,0.2647,0.045,0.0769,0.4925,18,1556,44,382
Random Forest,80:20,SMOTEENN,0.6214 ± 0.0197,0.613,0.241,0.435,0.309,0.5504,174,1052,548,226
Random Forest,80:20,NearMiss,0.4975 ± 0.0354,0.528,0.2031,0.465,0.2827,0.516,186,870,730,214
Random Forest,80:20,ClusterCentroids,0.6274 ± 0.0093,0.6305,0.2521,0.4575,0.325,0.5694,183,1078,522,217
Random Forest,80:20,ADASYN+Tomek,0.7892 ± 0.0075,0.785,0.2838,0.0525,0.0886,0.4955,21,1549,51,379
Random Forest,80:20,Borderline+Tomek,0.7870 ± 0.0084,0.7765,0.2762,0.0725,0.1149,0.4972,29,1524,76,371
Random Forest,90:10,Baseline,0.8000 ± 0.0000,0.8,0.0,0.0,0.0,0.5057,0,800,0,200
Random Forest,90:10,SMOTE,0.7937 ± 0.0051,0.785,0.3548,0.055,0.0952,0.5262,11,774,26,189
Random Forest,90:10,ADASYN,0.7900 ± 0.008,0.787,0.3871,0.06,0.1039,0.5224,12,775,25,188
Random Forest,90:10,RandomUnderSampler,0.6457 ± 0.0141,0.654,0.281,0.485,0.3558,0.5898,97,557,243,103
Random Forest,90:10,SMOTETomek,0.7930 ± 0.0053,0.788,0.3704,0.05,0.0881,0.5161,10,778,22,190
Random Forest,90:10,SMOTEENN,0.6384 ± 0.019,0.654,0.2774,0.455,0.334,0.5784,91,563,237,109
Random Forest,90:10,NearMiss,0.5181 ± 0.0264,0.54,0.2227,0.51,0.31,0.5684,102,438,362,98
Random Forest,90:10,ClusterCentroids,0.6457 ± 0.0141,0.654,0.281,0.485,0.3558,0.5898,97,557,243,103
Random Forest,90:10,ADASYN+Tomek,0.7900 ± 0.008,0.787,0.3871,0.06,0.1039,0.5224,12,775,25,188
Random Forest,90:10,Borderline+Tomek,0.7847 ± 0.0069,0.772,0.2778,0.075,0.1181,0.5039,15,757,43,185
ResNet,80:20,Baseline,0.8000 ± 0.0000,0.8,0.0,0.0,0.0,0.4851,0,1600,0,400
ResNet,80:20,SMOTE,0.6015 ± 0.1348,0.544,0.2014,0.425,0.2733,0.5077,170,918,682,230
ResNet,80:20,ADASYN,0.5694 ± 0.1332,0.545,0.2043,0.4375,0.2785,0.5204,175,915,685,225
ResNet,80:20,RandomUnderSampler,0.5118 ± 0.0177,0.52,0.1901,0.43,0.2636,0.4878,172,868,732,228
ResNet,80:20,SMOTETomek,0.5256 ± 0.0913,0.5005,0.1837,0.44,0.2592,0.4947,176,825,775,224
ResNet,80:20,SMOTEENN,0.5331 ± 0.0559,0.5285,0.1932,0.4275,0.2662,0.501,171,886,714,229
ResNet,80:20,NearMiss,0.5238 ± 0.1051,0.5235,0.1982,0.4575,0.2766,0.4996,183,864,736,217
ResNet,80:20,ClusterCentroids,0.6850 ± 0.0543,0.776,0.1818,0.02,0.036,0.4875,8,1544,56,392
ResNet,80:20,ADASYN+Tomek,0.5316 ± 0.0768,0.567,0.2185,0.43,0.2898,0.5239,172,962,638,228
ResNet,80:20,Borderline+Tomek,0.5516 ± 0.1246,0.539,0.1993,0.425,0.2714,0.5029,170,908,692,230
ResNet,90:10,Baseline,0.8000 ± 0.0000,0.8,0.0,0.0,0.0,0.518,0,800,0,200
ResNet,90:10,SMOTE,0.6521 ± 0.1659,0.616,0.2368,0.315,0.2704,0.5311,63,553,247,137
ResNet,90:10,ADASYN,0.6698 ± 0.1332,0.598,0.2319,0.355,0.2806,0.5173,71,527,273,129
ResNet,90:10,RandomUnderSampler,0.5283 ± 0.0163,0.547,0.2195,0.495,0.2982,0.5272,99,448,352,101
ResNet,90:10,SMOTETomek,0.6186 ± 0.1469,0.545,0.2144,0.475,0.2955,0.5184,95,450,350,105
ResNet,90:10,SMOTEENN,0.5702 ± 0.0767,0.547,0.2185,0.495,0.2965,0.5272,99,448,352,101
ResNet,90:10,NearMiss,0.5843 ± 0.0722,0.578,0.2222,0.42,0.2907,0.5262,84,494,306,116
ResNet,90:10,ClusterCentroids,0.6865 ± 0.0632,0.665,0.2109,0.27,0.2368,0.4975,54,611,189,146
ResNet,90:10,ADASYN+Tomek,0.5630 ± 0.0632,0.543,0.2163,0.49,0.3002,0.5269,98,445,355,102
ResNet,90:10,Borderline+Tomek,0.6559 ± 0.1086,0.583,0.2215,0.35,0.2713,0.5113,70,513,287,130
TabNet,80:20,Baseline,0.8000 ± 0.0000,0.8,0.0,0.0,0.0,0.5,0,1600,0,400
TabNet,80:20,SMOTE,0.5606 ± 0.0336,0.584,0.2078,0.3975,0.2729,0.5097,159,1009,591,241
TabNet,80:20,ADASYN,0.5484 ± 0.0245,0.563,0.2069,0.4325,0.2799,0.5198,173,953,647,227
TabNet,80:20,RandomUnderSampler,0.5190 ± 0.0289,0.4995,0.1876,0.4525,0.2652,0.4952,181,818,782,219
TabNet,80:20,SMOTETomek,0.5513 ± 0.0345,0.568,0.2072,0.4225,0.278,0.5152,169,967,633,231
TabNet,80:20,SMOTEENN,0.4851 ± 0.0384,0.49,0.185,0.4675,0.2635,0.5126,187,793,807,213
TabNet,80:20,NearMiss,0.5283 ± 0.0224,0.485,0.1866,0.4875,0.2699,0.5052,195,775,825,205
TabNet,80:20,ClusterCentroids,0.5190 ± 0.0289,0.4995,0.1876,0.4525,0.2652,0.4952,181,818,782,219
TabNet,80:20,ADASYN+Tomek,0.5441 ± 0.0205,0.5545,0.2014,0.425,0.2733,0.5101,170,939,661,230
TabNet,80:20,Borderline+Tomek,0.5485 ± 0.0226,0.5595,0.2052,0.4325,0.2784,0.514,173,946,654,227
TabNet,90:10,Baseline,0.8000 ± 0.0000,0.8,0.0,0.0,0.0,0.5,0,800,0,200
TabNet,90:10,SMOTE,0.5668 ± 0.0385,0.591,0.2163,0.41,0.2832,0.5222,82,509,291,118
TabNet,90:10,ADASYN,0.5484 ± 0.046,0.584,0.2183,0.435,0.2907,0.5274,87,497,303,113
TabNet,90:10,RandomUnderSampler,0.5152 ± 0.0213,0.485,0.2,0.525,0.2857,0.5002,105,380,420,95
TabNet,90:10,SMOTETomek,0.5411 ± 0.0391,0.551,0.2052,0.435,0.2788,0.5069,87,464,336,113
TabNet,90:10,SMOTEENN,0.4974 ± 0.0337,0.5,0.2016,0.515,0.283,0.5057,103,397,403,97
TabNet,90:10,NearMiss,0.5020 ± 0.0432,0.493,0.2033,0.555,0.2976,0.5166,111,382,418,89
TabNet,90:10,ClusterCentroids,0.5152 ± 0.0213,0.485,0.2,0.525,0.2857,0.5002,105,380,420,95
TabNet,90:10,ADASYN+Tomek,0.5434 ± 0.0466,0.583,0.2132,0.42,0.2828,0.5211,84,499,301,116
TabNet,90:10,Borderline+Tomek,0.5469 ± 0.0245,0.574,0.2096,0.415,0.2785,0.5136,83,491,309,117
XGBoost,80:20,Baseline,0.7940 ± 0.0031,0.796,0.4,0.055,0.0967,0.5222,22,1570,30,378
XGBoost,80:20,SMOTE,0.7899 ± 0.0051,0.788,0.3077,0.07,0.1141,0.5126,28,1548,52,372
XGBoost,80:20,ADASYN,0.7865 ± 0.0079,0.7865,0.3267,0.0825,0.1317,0.5242,33,1540,60,367
XGBoost,80:20,RandomUnderSampler,0.5460 ± 0.0116,0.5405,0.2037,0.44,0.2785,0.519,176,905,695,224
