Model,Split,Feature_Selection,Sampling,CV_Accuracy,CV_Std,Test_Accuracy,Precision,Recall,F1_Score,ROC_AUC,TP,TN,FP,FN
Logistic Regression,90:10,Baseline,ADASYN (Fold 2),0.490111,0.010149,0.517,0.197002,0.46,0.275862,0.492506,92.0,425.0,375.0,108.0
Logistic Regression,90:10,Baseline,ADASYN + Tomek (Fold 2),0.491333,0.01089,0.519,0.197849,0.46,0.276692,0.493125,92.0,427.0,373.0,108.0
Logistic Regression,90:10,Baseline,RandomUnderSampler (Fold 3),0.496333,0.008858,0.485,0.181818,0.45,0.258993,0.465731,90.0,395.0,405.0,110.0
Logistic Regression,90:10,Baseline,Borderline-2 + Tomek (Fold 1),0.526556,0.00986,0.541,0.203661,0.445,0.279435,0.504319,89.0,452.0,348.0,111.0
Logistic Regression,90:10,Baseline,SMOTE (Fold 3),0.511778,0.009145,0.498,0.182773,0.435,0.257396,0.462625,87.0,411.0,389.0,113.0
Logistic Regression,90:10,Baseline,SMOTETomek (Fold 3),0.511556,0.009625,0.498,0.182773,0.435,0.257396,0.463069,87.0,411.0,389.0,113.0
Logistic Regression,90:10,Baseline,ClusterCentroids (Fold 2),0.507556,0.005639,0.519,0.18847,0.425,0.261137,0.492756,85.0,434.0,366.0,115.0
Logistic Regression,90:10,Baseline,None (Baseline),0.8,0.0,0.8,0.0,0.0,0.0,0.515025,0.0,800.0,0.0,200.0
Random Forest,80:20,Baseline,None (Baseline),0.799875,0.00025,0.8,0.0,0.0,0.0,0.487355,0.0,1600.0,0.0,400.0
Random Forest,80:20,Baseline,SMOTE (Fold 3),0.796625,0.001287,0.7965,0.230769,0.0075,0.014528,0.501978,3.0,1590.0,10.0,397.0
Random Forest,80:20,Baseline,ADASYN (Fold 5),0.795875,0.002784,0.796,0.214286,0.0075,0.014493,0.50379,3.0,1589.0,11.0,397.0
Random Forest,80:20,Baseline,RandomUnderSampler (Fold 3),0.51525,0.01044,0.5015,0.19195,0.465,0.271731,0.482758,186.0,817.0,783.0,214.0
Random Forest,80:20,Baseline,SMOTETomek,0.79675,0.00225,0.7965,0.0,0.0,0.0,0.51917,0.0,1593.0,7.0,400.0
Random Forest,80:20,Baseline,SMOTEENN,0.4785,0.01047,0.466,0.191312,0.5175,0.279352,0.475305,207.0,725.0,875.0,193.0
Random Forest,80:20,Baseline,NearMiss (Fold 5),0.38725,0.006944,0.383,0.2,0.695,0.310615,0.51755,278.0,488.0,1112.0,122.0
Random Forest,80:20,Baseline,ClusterCentroids,0.92125,0.009302,0.1995,0.1996,0.9975,0.332639,0.486552,399.0,0.0,1600.0,1.0
Random Forest,80:20,Baseline,ADASYN+Tomek,0.892754,0.00318,0.7965,0.111111,0.0025,0.00489,0.501802,1.0,1592.0,8.0,399.0
Random Forest,80:20,Baseline,BorderlineSMOTE+Tomek,0.923487,0.005882,0.799,0.333333,0.005,0.009852,0.501048,2.0,1596.0,4.0,398.0
Random Forest,90:10,Baseline,None (Baseline),0.800111,0.000222,0.8,0.0,0.0,0.0,0.519191,0.0,800.0,0.0,200.0
Random Forest,90:10,Baseline,SMOTE (Fold 2),0.796444,0.000567,0.801,0.6,0.015,0.029268,0.514147,3.0,798.0,2.0,197.0
Random Forest,90:10,Baseline,ADASYN (Fold 2),0.796667,0.000609,0.799,0.4,0.01,0.019512,0.538775,2.0,797.0,3.0,198.0
Random Forest,90:10,Baseline,RandomUnderSampler (Fold 4),0.502111,0.005322,0.512,0.194915,0.46,0.27381,0.490856,92.0,420.0,380.0,108.0
